1245 clips in range 2026-08-18..2026-08-31; 1205 not yet repaired
 115 OK    separate-sciences-edexcel/biology-paper-2/L8: 81.53s -> 78.48s (card 3.1s, copy, vs card 27.0)
 116 OK    separate-sciences-edexcel/biology-paper-2/L8: 64.32s -> 61.23s (card 3.1s, encode, vs card 27.5)
 117 OK    english-literature-edexcel/romeo-and-juliet/L3: 66.32s -> 63.27s (card 3.1s, copy, vs card 221.3)
 118 OK    english-literature-edexcel/romeo-and-juliet/L3: 87.63s -> 84.54s (card 3.1s, encode, vs card 25.4)
 119 OK    english-literature-edexcel/romeo-and-juliet/L3: 73.65s -> 70.61s (card 3.1s, copy, vs card 29.9)
 120 OK    english-literature-edexcel/romeo-and-juliet/L3: 72.1s -> 69.06s (card 3.1s, copy, vs card 27.3)
 121 OK    history-ocr/international-relations-1918-1975/L12: 89.58s -> 86.54s (card 3.1s, copy, vs card 20.9)
 122 OK    history-ocr/international-relations-1918-1975/L12: 87.12s -> 84.01s (card 3.1s, copy, vs card 11.2)
 123 OK    history-ocr/international-relations-1918-1975/L12: 75.42s -> 72.38s (card 3.1s, copy, vs card 14.3)
 124 OK    engineering-aqa/manufacturing-processes/L6: 65.92s -> 62.67s (card 3.1s, copy, vs card 17.8)
 125 OK    engineering-aqa/manufacturing-processes/L6: 73.75s -> 70.7s (card 3.1s, copy, vs card 115.7)
 126 OK    engineering-aqa/manufacturing-processes/L6: 82.22s -> 79.13s (card 3.1s, encode, vs card 39.0)
 127 OK    engineering-aqa/manufacturing-processes/L6: 72.89s -> 69.8s (card 3.1s, encode, vs card 16.9)
 128 OK    business-aqa/influences-on-business/L3: 73.86s -> 70.82s (card 3.1s, copy, vs card 61.0)
 129 OK    business-aqa/influences-on-business/L3: 58.33s -> 55.29s (card 3.1s, copy, vs card 28.4)
 130 OK    business-aqa/influences-on-business/L3: 56.1s -> 53.03s (card 3.1s, copy, vs card 36.1)
 131 OK    business-aqa/influences-on-business/L3: 73.4s -> 70.36s (card 3.1s, copy, vs card 20.3)
 132 OK    computer-science-edexcel/data/L3: 70.15s -> 67.11s (card 3.1s, copy, vs card 25.6)
 133 OK    computer-science-edexcel/data/L3: 79.32s -> 76.28s (card 3.1s, copy, vs card 32.4)
 134 OK    computer-science-edexcel/data/L3: 70.82s -> 67.78s (card 3.1s, copy, vs card 28.9)
 135 OK    computer-science-edexcel/data/L3: 64.69s -> 61.65s (card 3.1s, copy, vs card 33.4)
 136 OK    astronomy-edexcel/naked-eye-astronomy/L7: 66.55s -> 63.51s (card 3.1s, copy, vs card 31.7)
 137 OK    astronomy-edexcel/naked-eye-astronomy/L7: 60.42s -> 57.35s (card 3.1s, copy, vs card 29.5)
 138 OK    astronomy-edexcel/naked-eye-astronomy/L7: 80.97s -> 77.9s (card 3.1s, copy, vs card 11.1)
 139 OK    astronomy-edexcel/naked-eye-astronomy/L7: 70.96s -> 67.87s (card 3.1s, encode, vs card 26.3)
 140 OK    science-ocr-b/chemistry-paper-1/L2: 75.58s -> 72.54s (card 3.1s, copy, vs card 26.1)
 141 OK    science-ocr-b/chemistry-paper-1/L2: 77.62s -> 74.58s (card 3.1s, copy, vs card 14.4)
 142 OK    science-ocr-b/chemistry-paper-1/L2: 66.69s -> 63.65s (card 3.1s, copy, vs card 27.7)
 143 OK    science-ocr-b/chemistry-paper-1/L2: 63.23s -> 60.19s (card 3.1s, copy, vs card 28.2)
 144 OK    english-literature-aqa/macbeth/L3: 64.09s -> 61.0s (card 3.1s, encode, vs card 29.2)
 145 OK    english-literature-aqa/macbeth/L3: 63.39s -> 60.35s (card 3.1s, copy, vs card 29.8)
 146 OK    statistics-aqa/planning-designing-enquiry/L3: 65.78s -> 62.67s (card 3.1s, copy, vs card 21.3)
 147 OK    statistics-aqa/planning-designing-enquiry/L3: 62.18s -> 59.1s (card 3.1s, encode, vs card 12.6)
 148 OK    statistics-aqa/planning-designing-enquiry/L3: 69.33s -> 66.01s (card 3.1s, copy, vs card 36.6)
 149 OK    statistics-aqa/planning-designing-enquiry/L3: 70.87s -> 67.8s (card 3.1s, copy, vs card 31.3)
 150 OK    music-eduqas/aos2-music-for-ensemble/L1: 66.69s -> 63.65s (card 3.1s, copy, vs card 26.7)
 151 OK    music-eduqas/aos2-music-for-ensemble/L1: 70.29s -> 67.24s (card 3.1s, copy, vs card 26.6)
 152 OK    music-eduqas/aos2-music-for-ensemble/L1: 73.17s -> 70.08s (card 3.1s, encode, vs card 45.0)
 153 OK    music-eduqas/aos2-music-for-ensemble/L1: 64.85s -> 61.81s (card 3.1s, copy, vs card 24.8)
 154 OK    design-technology-edexcel/designing-making-principles/L3: 79.99s -> 76.67s (card 3.1s, copy, vs card 16.3)
 155 OK    design-technology-edexcel/designing-making-principles/L3: 64.71s -> 61.67s (card 3.1s, copy, vs card 42.0)
 156 OK    design-technology-edexcel/designing-making-principles/L3: 76.46s -> 73.35s (card 3.1s, copy, vs card 27.8)
 157 OK    design-technology-edexcel/designing-making-principles/L3: 76.35s -> 73.31s (card 3.1s, copy, vs card 28.7)
 158 OK    religious-studies-eduqas/theme-human-rights/L2: 73.03s -> 69.94s (card 3.1s, encode, vs card 17.1)
 159 OK    music-ocr/aos2-the-concerto-through-time/L4: 85.29s -> 82.01s (card 3.1s, copy, vs card 29.0)
 160 OK    music-ocr/aos2-the-concerto-through-time/L4: 70.73s -> 67.69s (card 3.1s, copy, vs card 28.2)
 161 OK    music-ocr/aos2-the-concerto-through-time/L4: 67.31s -> 64.02s (card 3.1s, copy, vs card 27.6)
 162 OK    music-ocr/aos2-the-concerto-through-time/L4: 68.34s -> 65.27s (card 3.1s, copy, vs card 32.1)
 163 OK    history-edexcel/crime-punishment-whitechapel/L6: 70.82s -> 67.78s (card 3.1s, copy, vs card 33.3)
